"filename", "language", "Python", "Database", "XML", "JavaScript", "CSS", "Django Template", "comment", "blank", "total"
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/dados_produtos.html", "Django Template", 0, 0, 0, 0, 0, 21, 0, 1, 22
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/detalhe_pedido.html", "Django Template", 0, 0, 0, 0, 0, 64, 0, 2, 66
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/grafico_produtos.html", "Django Template", 0, 0, 0, 0, 0, 48, 0, 16, 64
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/home.html", "Django Template", 0, 0, 0, 0, 0, 68, 0, 37, 105
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/metas.html", "Django Template", 0, 0, 0, 0, 0, 19, 0, 5, 24
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/meus_pedidos.html", "Django Template", 0, 0, 0, 0, 0, 35, 0, 2, 37
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/pedido_list.html", "Django Template", 0, 0, 0, 0, 0, 45, 0, 3, 48
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/pedidos.html", "Django Template", 0, 0, 0, 0, 0, 46, 0, 4, 50
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/perfil.html", "Django Template", 0, 0, 0, 0, 0, 66, 0, 6, 72
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/produto_list.html", "Django Template", 0, 0, 0, 0, 0, 43, 0, 2, 45
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/produtos.html", "Django Template", 0, 0, 0, 0, 0, 24, 0, 2, 26
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/relatorios.html", "Django Template", 0, 0, 0, 0, 0, 140, 0, 37, 177
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/revendedor_list.html", "Django Template", 0, 0, 0, 0, 0, 49, 0, 4, 53
"/home/nickschiming/projects/umbrella/vendas/templates/vendas/usuarios.html", "Django Template", 0, 0, 0, 0, 0, 46, 0, 6, 52
"/home/nickschiming/projects/umbrella/vendas/tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"/home/nickschiming/projects/umbrella/vendas/urls.py", "Python", 55, 0, 0, 0, 0, 0, 0, 12, 67
"/home/nickschiming/projects/umbrella/vendas/utils.py", "Python", 233, 0, 0, 0, 0, 0, 0, 43, 276
"/home/nickschiming/projects/umbrella/vendas/views.py", "Python", 725, 0, 0, 0, 0, 0, 0, 182, 907
"Total", "-", 1853, 171, 4, 87, 345, 1208, 121, 792, 4581
